Model,Metric,Chunking,Prompt Extension,Top K,Prompt,llm_scores,weighted_score,cosine_similarity
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.8, 1.0]",0.9,0.792136
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.6, 1.0, 0.9, 0.8]",0.86,0.696344
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.5, 1.0, 0.7, 1.0]",0.84,0.638582
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.9, 1.0]",0.98,0.794136
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.9, 1.0, 1.0, 1.0]",0.98,0.603813
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.9, 1.0]",0.9,0.699501
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,32,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.8, 0.8]",0.86,0.591922
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.765543
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.519488
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,32,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 1.0, 0.9]",0.94,0.598469
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.743786
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,48,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.630626
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.748408
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.504352
snowflake-arctic-embed-m,cosine,character text splitter,FALSE,48,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.8, 1.0, 0.9, 1.0]",0.94,0.554922
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.706958
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.672747
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 1.0]",0.96,0.617662
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.8, 1.0]",0.92,0.765798
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,32,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.6, 1.0, 0.9, 1.0]",0.9,0.8281
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,32,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 1.0, 0.8]",0.92,0.529095
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,32,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.779879
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,48,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 1.0, 1.0]",0.94,0.721854
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,48,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.7, 1.0, 1.0, 0.9]",0.92,0.738386
snowflake-arctic-embed-m,cosine,character text splitter,TRUE,48,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 1.0, 1.0, 0.8, 1.0]",0.96,0.817524
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,16,"What is the theoretical basis for Kolmogorov-Arnold Networks, and how do they differ from traditional Multi-Layer Perceptrons (MLPs)?","[1.0, 0.7, 1.0, 0.9, 0.9]",0.9,0.675208
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,16,How do KANs address the issue of the curse of dimensionality better than MLPs?,"[1.0, 0.7, 1.0, 0.7, 0.9]",0.86,0.780268
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,16,"What specific applications or types of problems are KANs particularly suited to solve, according to the paper?","[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.786375
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,16,Does the paper provide evidence of KANs’ interpretability and how it facilitates interaction with human users?,"[1.0, 0.8, 1.0, 0.7, 1.0]",0.9,0.716226
snowflake-arctic-embed-m,cosine,recursive character text splitter,FALSE,16,What future research directions does the paper suggest for improving or expanding the capabilities of KANs?,"[1.0, 0.7, 1.0, 0.9, 1.0]",0.92,0.632441
